,modelGb1_bin16,modelGb1_bin17,modelGb1_bin20,modelGb1_bin43,modelGb2_bin20,modelGb2_bin21,modelGb4_bin17,modelGb7_bin10,modelGb7_bin15,modelGb7_bin28,modelGb7_bin5,modelGb7_bin9,modelGb8_bin5,modelGb8_bin50
GTPCII2,0,,0,0,,0,0,,,0,-7.29E-15,0,0,
GUAt,-1000,,,,-1000,,,,,,,,,
GUAt2r,0,,,,0,,,,,,,,,
H2Ot,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000
H2Otex,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000
H2Otpp,-1000,-980.4677743,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000,-1000
H2SO,0.083057824,0.119099565,0,0,0,0,0,,,0,0,,0,0.064973463
H2St1,-89.27825739,-1000,-18.88534711,-8.267813816,-205.2713294,-598.032389,-49.31057123,-29.6097194,-4.676592315,-52.41784639,-69.81619978,-12.14923842,-139.1180801,-0.072192737
HACD1_1,-0.017018884,,,-292.4186856,-200,,-100.0108784,,,0,,-478.8724195,-678.8704681,
HCO3E,-245.3846234,8.120954018,-24.20200672,-90.23017238,0,-1000,0,0,0,0,0,-201.4267233,-1000,-100
HEX7_1,122.2316524,,,,,,,,,0,,0,0,
HISTD,0,,,,,0,,0,,0,0,0,,
HISTP,0,,7.89E-16,,0,0,0,0,,,0,0,0,
HISabcpp,1.808570713,2.601026876,,,,,0,0,,0,,0,,1.418961719
HIStex,1.808570713,2.601026876,,,,,0,0,,0,,0,,1.418961719
HMBS_1,0,,,,,,,,,,0,,,0
HMGCOAR,-0.017019174,-0.024404398,,,,,-0.012087091,-27.37294859,-0.025673011,,,-15.06671195,,-34.52648306
HMGCOAS,-0.017018884,-0.024404311,,-57.14285714,,,-100.0108784,,-0.025673011,,,,,-100.0119822
HMR_9638,0,,,,,0,,,,,0,0,-218.2613256,
HPROb,-265.9646893,,-1000,,-100,-673.9997173,,,,-1000,-159.1224514,,,-1000
HSTPTr,-4.22E-19,,,,0,,0,-1000,,,,,,
ICL,-3.22E-13,,,,0,,,0,,,,,,
ID6P,244.4590351,0,,,,,,0,,,,,,
IG3PS,0,,0,0,0,0,0,0,,0,0,,,
IGPDH,0,,,,0,0,0,0,,0,0,,,
IGPDH_1,0,,0,0,,,,,,,,0,0,
ILEDHr_1,-6.180704505,,,,,,,,,,,,,
ILEt2r,0,,12.70279382,,,,,,,,,,,
IMPC,-0.00592992,-13.00973563,-35.07632981,-8.399861043,-14.82737025,-19.01764783,-14.25828474,-23.20803547,,-12.90157094,-29.61324108,-14.58728109,-18.82262791,
IMPD,4.635633685,0,0,0,0,0,3.298311743,0,0,0,0,0,0,3.626307063
IPDDI,0.001914657,0.002745495,,,-40.02131731,-33.55519951,0.001359798,,0.002888214,,,,,0.001497775
IPMD,0,0,0,0,1.88E-14,0,0,0,0,1.05E-15,-1.58E-14,0,0,
IPPMIa,-0.017018942,-13.76529474,-524.8476835,-26.66666667,-113.7201562,-155.0805218,-6.819057269,-30.44671371,-14.45810909,-7.773430054,-323.7628753,-109.5005744,-213.6626398,
IPPMIb,-0.017018942,-13.76529474,-524.8476835,-26.66666667,-113.7201562,-155.0805218,-6.819057269,-30.44671371,-14.45810909,-7.773430054,-323.7628753,-109.5005744,-213.6626398,
IPPS,0,0,2.01E-14,-2.74E-14,0,0,0,0,0,0,-3.02E-13,1.20E-13,0,
KARA1,-0.017018942,-151.9202204,-524.8476835,-403.7393394,-378.8895325,-524.5843216,-106.1317494,,-28.03791239,-519.2330696,-323.7628753,-497.2964245,-598.5378266,-75.41359056
KARA2,0,0,48.05152554,0,0,0,,1.91E-13,,0,0,-3.86E-18,-991.1895229,4.351469623
Kt1,3.737276585,,8.534419742,1.724854497,,,,,,,,,-994.0806478,
