,modelGb1_bin16,modelGb1_bin17,modelGb1_bin20,modelGb1_bin43,modelGb2_bin20,modelGb2_bin21,modelGb4_bin17,modelGb7_bin10,modelGb7_bin15,modelGb7_bin28,modelGb7_bin5,modelGb7_bin9,modelGb8_bin5,modelGb8_bin50
MVNOR,0.017019174,,,,,,,,,,,,,
NADDP,0,0,0,0,0,0,0,,,0,0,0,0,
NADDPp_1,-0.048462098,-0.069491524,0,,-0.077080689,,-0.034417991,,-0.073103899,0,0,0,-0.076757558,0
NADH17pp,2.647965417,,0,,,,319.826066,,,,,,0,
NADH6,419.9019444,,,0,453.9474549,,,,,365.5347908,,0,,183.9472539
NADK2,0,,,,,,,,,,,,,
NADK3,0,,,,,,,,55.47905564,,,,,
NADK4,0,,,,0.01512514,,,,,,,,,
NADKd,0.009509463,,0,0.004388875,,,-0.395338523,-0.570883149,-55.46471084,,-1.138036723,0,,-0.435453008
NDPK1,5.150704094,0,10.48209878,5.098390487,,,,0,,41.26630216,,,,
NDPK2,8.608064197,-0.798206859,24.51542661,3.980709884,,,,8.828092864,,5.93892172,,,17.03050735,
NDPK3,0.017019174,0,-1.020785853,-0.263077236,,,,-0.571995855,,133.582532,,,,
NDPK4,-989.1585734,0.811842816,1.271172788,0.261300085,0.885378972,4.001338875,,,,0.451601335,,0.613084043,,
NDPK5,0,0,1.312515295,0.265266764,,,,5.053993657,,0.46628882,,0.63302345,0,0.451279493
NDPK6,0,0.798206859,0,0,,,,0,,0,,0,,
NDPK7,0,0.824167037,1.312515295,0.265266764,0.929299399,0.677030527,0.408196166,0.589450052,,0.46628882,,0,,0.449615299
NDPK8,0,0,1.271172788,0.25691121,,,4.793838424,5.853243157,,3.723907438,,5.683293299,,4.464683078
NDPK9,493.8433723,,0,4.382787808,,,,0,,0,,,,
NH3c,-7.45081355,0,-55.73810419,0,11.64344744,0,975.1729795,11.22499047,0,20.6734784,0,0,1.93E-13,-5.247470019
NH4tex,7.068328888,66.01899193,0,0,0,-833.7399894,0,0,0,-294.9289742,-5.50E-16,0,0,-647.4989925
NH4tpp,7.068328888,66.01899193,0,-0.076662949,7.10E-12,-824.6217536,0,0,0,-294.9289742,-1.28E-25,2.52E-15,0,-647.4989925
NMNP,0.048462098,,,,0.077080689,,0.034417991,,,,,,,
NPHS,0.002127397,0.00305055,,0.000981851,0.0033837,0.002505943,0.001510886,0.002181775,0.003209126,,0.004486465,,0.003369515,0.001664194
NTP3,0,0,0,0,0,0,0,,,0,0,0,17.94657746,0
NTPP9_1,5.148332047,,,,,,,,,,,,,
O2tex,492.0520511,688.7042206,461.7624779,595.2413828,282.0087498,13.72699003,819.1708173,543.2970279,1000,438.0393918,996.8525519,578.4106441,289.9918354,499.7272989
O2tpp,492.0520511,688.7042206,461.7624779,595.222217,282.0087498,13.72699003,819.1681392,840.0807231,1000,438.0393918,996.8525519,578.4106441,289.9918354,499.7272989
OCBT_2,0,9.023282243,,,,,,,,,,,,
OCTDPS,0.002127397,0.00305055,0.004858109,0.000981851,0.0033837,,0.001510886,0.002181775,0.003209126,0.001725909,0.004486465,0.002343056,0.003369515,
OIVD1r,0,0.024404398,0,0,0,0,0,0,,-7.775754834,9.243329332,0,0,
OMCDC,0,0.024404398,0,0,15.24461796,0,6.807011389,0,14.45810909,1.70E-11,9.243329332,10.55619381,15.18071085,
OPAH,13.02636941,0,0,,0,0,0,0,,0,0,0,0,
ORNTA_1,4.702716887,,,,,,,,,,,,,
ORNt,-1.01E-12,,,,,,,,,,9.917555299,,,337.5023781
P52O,0,,0,,0,,,2.181774629,,,,,,
P5CRx,4.702716887,,0,,,,0,,,0,,,,3.678784093
PAPPT3,2.12739675,3.050549793,4.85810895,0.981851294,3.383700114,2.505942655,1.510886352,2.181774629,3.209126362,1.725908946,4.486465042,2.34305604,3.369515273,1.664194021
PC2DHG,0,,,,,,,,,,,,0,0
PDH2,1.706172194,,,,0,,,,,,,,,0
PDHa,981.9877572,0,0,0,0,0,0,0,,,0,0,,
PDHbr,981.9877572,,0,0,,0,,-374.0813085,,,,0,,
PDHcr,981.9877572,,0,0,0,1.86E-15,,0,,,0,0,,
PEPC,5.128196237,,,,,,,,,,,,,
PGAMT,-2.12739675,,-9.7162179,-0.981851294,0,,-3.021772703,-2.181774629,,-3.451817892,,-2.34305604,-6.739030545,0
PGCM,246.9240582,,,,,,0,,,,,,,
PGI1c,246.9240582,,,,,,,,,0,,,,
PGM,-996.9803305,7.390902543,-983.96569,0,-954.6061065,0,,0,-59.55519167,140.4309996,,0,0,0
PHCD,0,,0,,0,,,0,,,0,,0,0
PHETA1,-3.94132159,-8.862731807,-2.76149487,0,-6.268812016,-4.64263466,,0,0,0,0,0,-24.97012988,0
PMDPHT,0,,0,0.004379057,,0.011176504,0.006738553,,,0,0.020009634,0.01045003,0.015028038,
PMEVK,0.017019174,0.024404398,,,,,0.012087091,0,0.025673011,,,0,,0.008083228
PPANA,5.128196237,,,,,0,10.28192913,0,,0,0,,0,
PPAP_Et,-1.827327439,,,-1.490754639,-87.46559697,0,,,-246.5413636,0,0,0,0,0
PPA_1pp,23.79560278,,,11.01200228,32.98190628,24.55234905,1.417997059,0,,0,34.77795539,,0,0
PPBNGS,0,,0,0,13.34495232,,,,,149.7059997,0.511133989,,0,0
PPCOAC,0,0,,0,,0,0,,0,,,,0,0
PPND,2.933595023,,,,,,,3.008579943,,0,,3.236205571,,
PPNDH,3.94132159,,,,,4.64263466,,,,0,,,,
PRAMPC_1,0.002372047,,,0,,,,,,,,,0,
PRATPP_1,0.002372047,,,,,,,0,,0,,0,,
PRMICI,0.002372047,,0,0,0,0,0,0,,0,0,0,0,
PRPPS,0.002372047,6.214610543,0.110667722,,0.015091303,,6.746152887,-4.583624865,0,10.21969368,34.09742145,0.058599832,10.34879226,0.03791034
PSCVT,0,0,0,0,,0,0,0,,0,0,0,4.653940799,0
PTA2,1.827327439,,,1.490754639,87.46559697,0,,,246.5413636,0,,0,940.463664,0
PTRCTA2,0,,,0,0,0,,0,,,0,0,0,
PYDAMK,0,,,,,,,,,,,,,
PYDAMtex,0,,,,,,,,,,,,,
PYDAMtpp,0,,,,,,,,,,,,,
