,modelGb1_bin16,modelGb1_bin17,modelGb1_bin20,modelGb1_bin43,modelGb2_bin20,modelGb2_bin21,modelGb4_bin17,modelGb7_bin10,modelGb7_bin15,modelGb7_bin28,modelGb7_bin5,modelGb7_bin9,modelGb8_bin5,modelGb8_bin50
MMM2,168.3112614,12.81176458,,,324.8512777,300,,64.88095238,,,,88.12419145,113.9862674,100
MNt2,0.014700312,,235.9084446,732.2332956,,,,270.3404262,,,,,,
MPTG,2.116761998,,14.40685377,,6.666666667,7.894736842,4.545454545,6.110412157,,7.386363636,12.08791209,,11.11111111,
MTHFR2,12.94893476,0.00305055,,,400.0030453,,,,4.928947489,,35.65412451,,,
MVNOR,0.017019174,,,,,,,,,,,,,
NADDP,999.9563841,1000,1000,32.65306122,999.9306274,60,999.9690238,,,1000,1000,1000,999.9309182,
NADDPp_1,-0.043615888,48.5088862,0,,-0.06937262,,-0.030976192,,-0.065793509,104,70.20355411,70,-0.069081802,50
NADH17pp,257.4181095,,314.4841984,,,,1000,,,,,,1000,
NADH6,852.4129961,,,342.8571429,1000,,,,,857.3958426,,1000,,745.9532548
NADK2,1000,,,,,,,,,,,,,
NADK3,1000,,,,,,,,230.7003808,,,,,
NADK4,1000,,,,0.01512514,,,,,,,,,
NADKd,0.009509463,,0.021715747,0.004388875,,,-0.35580467,-0.513794835,-9.577172304,,34.15120587,0.01047346,,-0.391907707
NDPK1,129.6356337,1000,292.7672222,410.6262977,,,,1000,,1000,,,,
NDPK2,12.60480364,193.5687713,305.3972173,24.36383025,,,,137.7071883,,1000,,,175.3288091,
NDPK3,0.017019174,1000,282.4146261,56.90608763,,,,1000,,237.6130374,,,,
NDPK4,509.7572839,0.811842816,142.8302663,0.261300085,0.885378972,4.678369402,,,,1000,,0.623557504,,
NDPK5,1000,0.824167037,142.8479304,32.89180131,,,,134.7175931,,1000,,144.8609861,66.66666667,17.52972434
NDPK6,509.7572839,0.798206859,1.270033189,32.65306122,,,,0,,1000,,0.61233322,,
NDPK7,1000,0.824167037,142.8479304,0.265266764,0.929299399,75.60932747,17.49004944,0.589450052,,1000,,0.630679983,,0.449615299
NDPK8,1000,1000,284.4773888,0.25691121,,,104.3144546,1000,,1000,,145.5563845,,104.0182148
NDPK9,1000,,0,80.13498522,,,,1000,,1000,,,,
NH3c,330.7358074,89.47368421,0,200,430.1925396,1000,1000,590.363733,529.6721219,352.9749208,1000,577.4596513,0,1000
NH4tex,59.91326403,158.7958605,718.8210248,1000,237.055328,151.547169,256.0040372,826.7597537,880.8712696,94.5078798,372.1745932,1000,287.6972381,0.216812029
NH4tpp,59.91326403,158.7958605,718.8210248,1000,237.055328,151.547169,256.0040372,826.7597537,880.8712696,94.5078798,372.1745932,1000,287.6972381,0.216812029
NMNP,0.048462098,,,,0.077080689,,0.034417991,,,,,,,
NPHS,0.002127397,0.003050543,,0.000981851,0.0033837,0.002505943,0.001510886,0.002181775,0.003209126,,0.004486465,,0.003369515,0.001664194
NTP3,125,194.2857143,283.3333333,57.14285714,200,100,100,,,104,275,140,176.1519197,51.9121789
NTPP9_1,5.151773024,,,,,,,,,,,,,
O2tex,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
O2tpp,1000,1000,1000,999.9827508,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
OCBT_2,20.94657094,52.85779612,,,,,,,,,,,,
OCTDPS,0.002127397,0.00305055,0.004858109,0.000981851,5.717331044,,0.001510886,0.002181775,0.003209126,0.001724681,0.004486465,0.002221318,5.227660069,
OIVD1r,0.017018942,0.024404398,524.8476835,26.66666667,100,300,0.012087018,27.37294859,,0,323.7628753,100,200,
OMCDC,0.017018942,13.76529474,524.8476835,26.66666667,113.7201562,155.0805218,6.819057269,30.44671371,14.45810909,7.773430054,323.7628753,109.5005744,213.6626398,
OPAH,97.12599637,2.789561186,72.99649865,,70.28900054,74.88885748,38.8176588,87.52635126,,53.17292071,69.64103921,106.0507611,69.90827817,
ORNTA_1,4.702716887,,,,,,,,,,,,,
ORNt,20.94657094,,,,,,,,,,9.917555299,,,576.1705335
P52O,0.007906038,,1000,,156.6440021,,,14.18442148,,,,,,
P5CRx,4.702716887,,1000,,,,7.627610697,,,59.68392857,,,,1000
PAPPT3,6.302401818,3.050549793,33.18600559,0.981851294,16.37866344,18.04482207,10.45070681,14.18442148,3.209126362,16.32604532,28.21364271,2.34305604,25.25478597,1.664194021
PC2DHG,6.473510052,,,,,,,,,,,,23.58438712,8.333333333
PDH2,1.706172194,,,,200,,,,,,,,,103.5794492
PDHa,1000,151.9202204,533.5922796,400,219.7145687,208.857956,70.75449963,461.7663959,,,106.6972464,478.8724195,,
PDHbr,1000,,533.5922796,1000,,208.857956,,1000,,,,478.8724195,,
PDHcr,1000,,533.5922796,1000,156.6440021,208.857956,,1000,,,283.2925159,478.8724195,,
PEPC,105.1589171,,,,,,,,,,,,,
PGAMT,-1.914657075,,-8.74459611,-0.883666165,0,,-2.719595433,-1.963597166,,-3.106636103,,-2.108750436,-6.065127491,0
PGCM,250.0083572,,,,,,300,,,,,,,
PGI1c,250.0083572,,,,,,,,,0,,,,
PGM,-497.2822975,7.390902543,-817.9565847,66.66666667,-524.0053607,60,,0,79.89907867,562.6873228,,241.4117665,97.16623742,0
